step,time,operator_energy,energy_functional,M_beta,C_NN,S_VN_avg
720,21.599999999999998,-0.7392261125129811,-0.7232224024535374,0.3190051029775806,-0.2109149810938579,0.666243267972355
740,22.2,-0.742781316499971,-0.7250396566580684,0.3284586577127327,-0.20533213826610716,0.6513151950011303
760,22.8,-0.7459556093719926,-0.7267249672624388,0.3357973006182878,-0.20048528240232422,0.638345462857259
780,23.4,-0.7484759103342853,-0.7282876619314752,0.3394953069016033,-0.19735270335131125,0.6318506268494235
800,24.0,-0.7503176438751691,-0.7297487547178196,0.3397348478124122,-0.19615668040493509,0.6323692683351867
820,24.599999999999998,-0.7516525059144596,-0.7311329707024885,0.3379273470784587,-0.19646175553768686,0.636949020021397
840,25.2,-0.7527073133393284,-0.732462234641176,0.3356914466964181,-0.19759915924002325,0.6418186700586895
860,25.8,-0.7536471751478244,-0.733753276278903,0.33399371876857636,-0.1990560154233788,0.6447891763179938
880,26.4,-0.754541252638758,-0.7350175313521783,0.33291410696318113,-0.20060812208538156,0.6459125373404587
900,27.0,-0.7554003475700011,-0.7362616017371625,0.33200555396815296,-0.20220940877416274,0.6465525557955499
920,27.599999999999998,-0.7562384368861702,-0.7374874088027693,0.33086579562764157,-0.20379391310783246,0.6478941656013573
940,28.2,-0.7571079082099079,-0.7386918270969881,0.32950706086696124,-0.2051609101759827,0.6500025143521335
960,28.799999999999997,-0.758086993216867,-0.739866716601405,0.32833392226504415,-0.20601820130400608,0.6519515243715016
980,29.4,-0.7592380993339016,-0.74100053747619,0.32784181541423335,-0.2061242635808355,0.6526519465048874
1000,30.0,-0.760573732665609,-0.7420813333049998,0.32831283230033764,-0.20540705286080266,0.6515851222038864
1020,30.599999999999998,-0.7620514921256865,-0.7430995750313468,0.32970758890452206,-0.2039849610032891,0.6489690125631794
1040,31.2,-0.7635934756688925,-0.7440496781681124,0.3317504734970977,-0.20210413134428337,0.6454509834756916
1060,31.799999999999997,-0.7651126078090922,-0.7449301880357648,0.3340818082575585,-0.20005228245000753,0.6417041072174658
1080,32.4,-0.766532108513194,-0.7457433194313237,0.3363677140076889,-0.19809622340632194,0.6382145988907314
1100,33.0,-0.7677945784405968,-0.7464944466828843,0.3383397128370564,-0.19645296220222894,0.6352936334154077
1120,33.6,-0.768864758882216,-0.7471916706812385,0.339797253078207,-0.19527818952218778,0.6331628681162079
