N,B_c_formula,B_c_exact_one_magnon,absolute_error
3,1.6732050807568881,1.6732050807568877,4.440892098500626e-16
4,2.0,2.0,0.0
5,1.926574044833442,1.9265740448334419,2.220446049250313e-16
6,2.0,2.0,0.0
7,1.9877456157259306,1.9877456157259312,6.661338147750939e-16
8,2.0,2.0,0.0
