step,time,operator_energy,energy_functional,M_beta,C_NN,S_VN_avg
420,12.6,-0.928464020245293,-0.9083704096293055,0.30570500653197036,-0.21396099506138,0.7063828169107987
440,13.2,-0.9381634119638571,-0.9168394919320783,0.31184207137416425,-0.21036716887548979,0.6971172547283032
460,13.799999999999999,-0.9459723104427157,-0.9239309035465626,0.31582308172899487,-0.20861817886214604,0.6887813599207796
480,14.399999999999999,-0.9518366074377751,-0.9299966546514964,0.31413129299891435,-0.21040165272647005,0.6919120418220951
500,15.0,-0.9568349144632272,-0.9353478811935668,0.31069567558731737,-0.21316298028809957,0.697577449499891
520,15.6,-0.9619458104186716,-0.9401026287138425,0.311208531266213,-0.21367215706133622,0.6940246955104378
540,16.2,-0.9671714287365216,-0.9442617276519809,0.31586412530369096,-0.2115452507716021,0.6829110032944644
560,16.8,-0.9718596778937836,-0.9478303983393324,0.32054682669603296,-0.20880304929657112,0.6745396442456922
580,17.4,-0.9754339172239439,-0.9508687226079156,0.32176443221526246,-0.20746739255033328,0.6748426334975896
600,18.0,-0.9778960291591188,-0.9534790552799097,0.3195905195997311,-0.20794524260234393,0.6808989372139019
620,18.599999999999998,-0.9797838519848109,-0.9557644301377023,0.3167361238769529,-0.20919264409755636,0.6862770038736613
640,19.2,-0.981712135210588,-0.9578009008977327,0.31587673023193985,-0.2098698470262296,0.6868954779283937
660,19.8,-0.9839835559165373,-0.9596325072287037,0.3179548600886928,-0.2092230699154165,0.6821425421901366
680,20.4,-0.9864783632265354,-0.9612716632113005,0.32197942689676284,-0.20740245999386067,0.6739601677071637
700,21.0,-0.9887747867681453,-0.9627128298537927,0.32578368575178546,-0.205359575754731,0.6663539755328108
720,21.599999999999998,-0.9904776270498319,-0.9639623601501907,0.3274556305033312,-0.20418009337249646,0.6632551776636001
740,22.2,-0.991552437733205,-0.9650530504390449,0.32674614843567024,-0.2041976316981106,0.6650644579321724
760,22.8,-0.9923354042678865,-0.96602771764859,0.32520079812021624,-0.204784605053303,0.6682543966381242
780,23.4,-0.9932210230412182,-0.9669161628080075,0.3247377402373223,-0.20501402165908558,0.6688224485716004
800,24.0,-0.9943600300693483,-0.967728158299016,0.32605878824949847,-0.20444152110850933,0.6656202792671501
820,24.599999999999998,-0.9956097510949025,-0.9684612479782579,0.3283397482770633,-0.20332852327405737,0.6606428712161775
840,25.2,-0.996711160850821,-0.969113209546344,0.33019821118954534,-0.2022844257499962,0.6568247733229775
860,25.8,-0.9975123733175484,-0.9696902596852801,0.3308621397048452,-0.20173870940281236,0.6556328503647685
880,26.4,-0.9980640317045248,-0.9702064452265586,0.33059741282583016,-0.20166898564492716,0.6563076707544492
900,27.0,-0.9985420722954507,-0.970677066571934,0.3302677693347256,-0.20172439279744503,0.6569305426750988
920,27.599999999999998,-0.9990960877257765,-0.9711124858299692,0.33056882791708675,-0.2015556157506493,0.656075200448532
940,28.2,-0.9997526950346977,-0.971516153762675,0.3315689740774288,-0.2010621099609526,0.6537140860305525
960,28.799999999999997,-1.0004290293376017,-0.9718871537335507,0.3328110616610569,-0.2004040482490547,0.6509248926196131
980,29.4,-1.0010209734199011,-0.9722248394411881,0.3337665176576492,-0.19982639471291982,0.648863973822159
1000,30.0,-1.0014859356496422,-0.9725318807099158,0.33423029186212666,-0.19946353143423864,0.6479053151081197
1020,30.599999999999998,-1.0018606479226113,-0.9728138562686595,0.33438619892953253,-0.1992714188915529,0.6475608980865707
1040,31.2,-1.0022167183278976,-0.9730766428546092,0.3345772170792276,-0.19910497737361835,0.6470552896493347
1060,31.799999999999997,-1.0026026725887756,-0.9733240171018293,0.3350209880396264,-0.1988460226748375,0.6459524617504302
1080,32.4,-1.0030175280431406,-0.9735570243373517,0.33568848671591883,-0.198477974642572,0.6443725691505451
1100,33.0,-1.0034259758130655,-0.9737751993590018,0.33639005046589804,-0.19807038373631367,0.6427624668231081
1120,33.6,-1.0037936630776372,-0.9739784437842027,0.33695356953849903,-0.1977075442147643,0.6414943376180348
1140,34.199999999999996,-1.0041124018846592,-0.9741680615652935,0.33734280044401393,-0.19742532833638396,0.6406171134604473
1160,34.8,-1.004399813691,-0.9743464043342105,0.33764590489088975,-0.19719907558016084,0.6399049766810528
1180,35.4,-1.0046805743535305,-0.9745157640790841,0.33797791811327277,-0.19697758971193538,0.6390945533156743
1200,36.0,-1.004967937727546,-0.974677506458044,0.33839222574144506,-0.19672596694932828,0.6380848746293658
1220,36.6,-1.005258603607201,-0.9748319763296851,0.3388620540278826,-0.19644441381981068,0.6369615391382769
1240,37.199999999999996,-1.0055405330655833,-0.9749790413101946,0.3393237690960928,-0.19615737961063018,0.6358788743467148
1260,37.8,-1.0058043027723813,-0.9751187581270205,0.33973203816024045,-0.19588984431600878,0.6349302117247854
1280,38.4,-1.0060490847624917,-0.9752517003693247,0.3400847420397161,-0.19565077057639368,0.6341032814648195
1300,39.0,-1.0062809265799562,-0.9753788170665108,0.3404106677837831,-0.19543213970278397,0.6333229047808463
1320,39.6,-1.0065069837146585,-0.9755010233014954,0.34074068629782356,-0.19521908316843595,0.6325213755234008
1340,40.199999999999996,-1.0067308103985595,-0.9756188626341782,0.3410869327395818,-0.19500126192149417,0.6316804663970156
1360,40.8,-1.006951444906784,-0.9757324704732478,0.34144100658860715,-0.19477803850593123,0.6308274500974865
1380,41.4,-1.0071657000790755,-0.975841807113858,0.3417862716256392,-0.1945559885112321,0.6300023246375689
1400,42.0,-1.0073711601124389,-0.9759469351736014,0.3421115946928568,-0.19434252537742666,0.6292266559026548
1420,42.6,-1.0075676914315488,-0.9760481349155297,0.34241685787416376,-0.1941408808348181,0.6284948091556924
1440,43.199999999999996,-1.0077569709858039,-0.9761458205313223,0.34270935428462845,-0.19394925195205162,0.6277867455383629
1460,43.8,-1.0079410194308904,-0.9762403694555489,0.342996744348756,-0.19376332416164854,0.627086164627691
1480,44.4,-1.00812101659612,-0.9763320045306413,0.34328243840597694,-0.1935795224356538,0.626389298103358
1500,45.0,-1.0082970133177986,-0.976420796082929,0.34356528641575235,-0.19339685062487696,0.6257020125784899
1520,45.6,-1.008468376072403,-0.9765067553513471,0.34384193916524763,-0.1932167362952404,0.6250322233936568
1540,46.199999999999996,-1.0086344565648013,-0.9765899373231708,0.34410946038832485,-0.1930415407641428,0.624384564441972
1560,46.8,-1.0087950604498466,-0.9766704823174137,0.344366809730837,-0.19287287469406125,0.6237591896989919
1580,47.4,-1.0089505377871633,-0.9767485815312779,0.3446149587632696,-0.19271070311706476,0.6231531352812532
