N,B_c_formula,B_c_exact_one_magnon,absolute_error
3,1.9330127018922196,1.9330127018922194,2.220446049250313e-16
4,2.0,2.0,0.0
5,2.102909620521184,2.102909620521184,0.0
6,2.0,2.0,0.0
7,2.117910737461198,2.117910737461198,0.0
8,2.0606601717798214,2.060660171779821,4.440892098500626e-16
